60
2 11 85 117
2 16 49 100
2 14 208 236
2 12 68 125
2 16 146 184
2 14 91 158
2 14 223 267
2 16 154 252
2 13 97 134
6 4 101 109
2 14 99 137
2 16 110 165
2 14 120 217
2 16 50 96
2 14 195 253
2 16 163 212
2 9 224 266
2 16 93 143
2 13 196 251
2 11 87 119
2 13 19 64
2 15 163 214
2 12 143 250
2 16 205 295
13 2 31 43
2 13 17 120
2 12 9 103
2 13 87 113
2 8 98 173
2 17 59 127
2 11 80 129
2 15 145 206
2 12 69 144
2 12 78 136
2 14 0 111
2 14 152 269
2 11 98 160
2 12 118 144
3 8 98 115
2 12 201 273
2 13 177 246
2 15 66 146
2 16 135 204
2 13 112 226
2 12 108 185
2 13 179 249
2 13 26 106
2 15 224 283
2 14 89 174
2 13 218 296
2 13 169 257
2 17 125 170
2 12 137 226
2 14 124 168
2 11 21 50
2 12 210 273
2 12 112 151
2 15 189 262
2 10 204 273
2 13 187 258
