60
17 4 331 350
4 18 239 276
6 9 551 576
31 2 301 313
4 16 261 299
4 13 506 536
2 33 406 513
4 17 202 252
2 31 117 214
31 2 379 403
6 10 353 373
5 14 215 249
17 4 110 130
6 11 0 23
5 14 424 465
17 4 398 414
3 22 52 96
6 12 225 250
31 2 424 445
6 13 3 29
4 14 358 389
31 2 194 219
2 31 19 118
4 17 295 344
31 2 167 196
3 22 385 432
4 16 347 383
29 2 186 207
6 11 46 71
31 2 416 441
2 33 31 100
3 24 493 543
4 18 143 180
37 2 520 539
2 27 95 183
31 2 92 118
4 18 116 154
29 2 125 147
31 2 355 377
2 28 159 217
4 14 192 224
6 11 530 553
2 34 548 662
3 20 149 190
4 15 332 366
2 26 200 288
2 30 213 274
31 2 170 182
4 16 233 265
4 16 477 520
4 17 161 196
5 14 466 501
4 17 344 384
6 11 160 188
2 31 552 651
29 2 261 280
5 14 33 66
3 22 66 114
4 16 544 578
3 22 307 356
