60
2 7 4 42
2 8 88 118
2 5 88 121
2 5 91 122
11 2 9 18
2 8 86 127
2 8 82 99
2 8 89 112
2 6 101 136
2 8 6 44
2 4 66 80
2 7 15 33
2 7 1 35
2 10 57 103
2 6 75 114
2 6 86 112
2 3 17 54
2 6 70 120
2 5 30 78
2 6 57 100
2 8 93 134
2 6 29 49
2 7 110 150
2 6 11 45
2 9 29 50
2 9 5 28
2 5 47 69
2 7 69 91
2 7 33 80
2 6 19 46
2 10 80 132
2 8 87 128
2 5 90 117
2 6 76 118
2 9 50 72
2 7 64 85
2 6 24 71
2 7 17 55
2 8 84 106
2 7 41 81
2 6 81 111
4 4 105 114
2 8 29 62
2 8 107 155
2 8 91 122
2 9 29 56
2 10 53 91
2 7 17 50
2 5 86 97
2 11 29 78
2 7 0 27
2 5 88 109
2 8 57 89
2 6 80 110
2 8 103 129
2 6 2 47
2 10 23 80
2 9 72 97
2 8 84 111
2 8 106 128
