60
2 10 68 91
2 15 90 131
2 14 213 246
2 12 174 208
17 2 123 140
2 12 201 232
3 10 72 93
2 14 292 326
2 14 142 184
2 11 114 137
4 7 123 137
2 15 281 329
5 6 87 102
2 16 264 300
2 13 140 171
4 8 218 236
2 9 84 116
2 16 140 207
4 7 270 284
6 4 267 275
2 14 28 64
17 2 164 182
2 12 107 143
4 8 294 315
6 4 79 87
13 2 133 146
3 8 16 32
13 2 113 124
2 8 134 157
4 8 205 226
2 12 58 83
2 14 0 50
2 11 235 269
2 13 180 207
2 14 15 46
2 15 227 263
2 12 144 179
2 11 88 111
2 11 236 277
2 13 299 332
6 5 78 88
2 14 56 106
2 15 85 118
13 2 92 106
2 12 30 67
13 2 122 129
2 12 117 157
5 6 176 189
3 10 251 274
4 6 92 104
13 2 225 239
2 17 239 286
2 11 52 82
2 14 68 116
2 11 232 259
2 11 290 315
11 2 146 156
10 3 257 264
2 10 2 50
2 14 131 172
