60
2 5 68 112
2 7 58 97
2 5 36 64
2 7 35 50
2 10 29 60
2 9 19 60
9 2 63 67
2 10 0 44
2 5 19 54
2 8 41 60
2 4 46 88
2 7 49 77
2 7 44 74
2 10 68 113
2 6 54 70
2 6 33 48
2 3 35 47
2 7 1 15
2 5 59 92
2 7 42 83
2 7 8 43
2 6 31 65
2 8 8 56
2 6 15 31
2 9 34 63
2 9 46 79
2 5 9 46
2 7 66 115
2 7 62 98
2 5 11 41
2 9 22 45
2 8 23 67
2 7 54 81
2 6 28 68
2 9 67 113
6 2 27 31
2 7 32 81
2 7 35 84
4 4 39 50
6 3 12 18
2 7 49 94
2 7 1 47
2 8 1 32
2 9 53 88
4 4 55 66
2 10 35 87
2 8 31 95
2 5 65 116
2 5 48 77
2 9 49 79
2 6 53 86
2 6 47 86
2 7 46 81
2 5 47 58
2 9 19 70
2 7 25 63
2 9 68 125
2 9 46 92
4 5 25 38
2 8 40 85
