60
4 18 408 446
3 24 148 197
4 14 52 86
2 31 416 479
11 6 403 417
5 10 462 486
2 33 585 662
5 14 342 378
31 2 409 441
31 2 881 894
2 30 902 1000
5 14 56 84
4 17 597 643
6 11 610 635
6 12 693 718
8 8 286 309
4 17 89 126
5 14 85 132
2 30 133 233
6 13 745 779
2 28 359 417
31 2 227 246
8 8 152 169
5 14 376 410
31 2 544 562
4 16 574 617
2 31 669 767
2 28 119 176
6 11 385 415
31 2 551 580
6 11 16 38
5 14 22 68
19 4 0 19
3 24 528 581
2 27 392 474
4 16 418 454
7 10 257 277
7 8 372 391
4 16 223 263
4 14 134 170
2 28 911 1005
2 33 761 827
2 35 554 624
31 2 634 647
2 29 133 196
2 27 12 68
3 20 569 612
31 2 653 671
31 2 467 484
3 22 795 849
5 14 558 586
5 14 524 552
2 33 1 101
2 31 67 163
2 31 612 706
4 14 700 736
2 34 189 258
2 33 190 299
31 2 715 732
17 4 704 723
