60
4 5 138 151
3 10 23 44
7 4 118 128
4 6 72 85
17 2 256 263
7 4 73 83
7 4 51 60
8 4 24 32
13 2 182 187
11 2 295 306
2 14 248 281
2 15 204 237
13 2 102 113
6 5 179 189
13 2 9 16
17 2 205 217
6 3 290 296
8 4 21 31
3 8 235 253
3 8 205 223
13 2 41 51
5 6 210 222
13 2 18 28
17 2 30 37
8 3 168 174
7 4 116 125
2 12 18 54
13 2 264 277
2 8 185 211
2 15 222 269
3 8 282 301
6 5 34 44
3 8 184 202
3 8 296 314
4 7 41 56
4 7 143 162
11 2 235 244
4 6 113 126
2 11 260 283
6 4 260 268
4 7 190 205
2 14 241 269
5 6 249 264
2 13 280 307
4 6 53 66
4 6 189 202
13 2 195 205
3 10 113 135
4 7 278 295
2 12 234 271
13 2 42 52
17 2 161 169
11 2 286 297
7 4 102 110
2 11 54 76
11 2 0 7
11 2 112 119
4 7 159 178
4 5 88 100
13 2 276 288
